T	0
C	1
Sa	2
Pr	3
Pa	4
J	5
Mp	6
Md	7
X	8
L	9
U	10
Ud	11
D	12
Te	13
Y	14
G	15
A+	16
A-	17
B	18
E+	19
E-	20
E	21
N	22
O	23
K	24
Z	25
W	26
V+	27
I	28
H	29
Rg	30
Q	31
